seq,title,label,time_ms,beats,type,energy,tempo_match
000,初始化,招左手,4000,4,gesture,low,any
001,立正,立正,2000,1,stand,low,slow
002,双手摇摆,双手摇摆,5000,6,stand,high,fast
003,挥舞双手,挥舞双手,9800,6,side,medium,medium
004,欢快起舞,欢快起舞,3500,211,dance,high,fast
005,前挥手,前挥手,5000,6,gesture,medium,slow
006,比心,比心,5800,50,dance,high,medium
007,挥左拳,挥左拳,3100,5,gesture,high,fast
008,挥右拳,挥右拳,3600,5,gesture,high,fast
009,挥右手,挥右手,5000,5,gesture,medium,medium
010,左右摇摆,左右摇摆,6400,20,dance,low,slow
011,上下摆动,上下摆动,4800,211,dance,high,fast
012,骑马,骑马,6200,8,dance,high,fast
013,左右摇摆挥手,左右摇摆挥手,6800,8,dance,medium,slow
014,前进侧步,前进侧步,6400,8,forward,medium,medium
015,奶龙舞,奶龙舞,5500,4,dance,high,fast
016,抱头摇晃,抱头摇晃,7000,6,dance,low,slow
017,金鸡独立,金鸡独立,6400,8,dance,medium,medium
018,劈叉,劈叉,8000,10,dance,medium,medium
019,侧踢,侧踢,8000,10,dance,high,fast
020,俯卧撑,俯卧撑,13600,17,dance,high,fast
021,博尔特摆动,博尔特摆动,4700,7,dance,high,fast
022,左侧移,左侧移,4800,6,left,medium,medium
023,右侧移,右侧移,4800,6,right,medium,medium
024,左转弯,左转弯,4400,5,left,medium,medium
025,右转弯,右转弯,4400,5,right,medium,medium
026,饮酒,饮酒,6100,8,gesture,low,slow
027,捶胸,捶胸,5600,7,gesture,medium,slow
028,波浪,波浪,3200,4,dance,high,fast
029,挥手扭腰,挥手扭腰,6100,7,dance,high,fast
030,伸腿舞手(慢),伸腿舞手(慢),7800,8,dance,low,slow
031,原地踏步,原地踏步,3800,4,dance,high,fast
032,大字伸展,大字伸展,6400,8,dance,high,fast
033,铁山靠,铁山靠,5600,7,dance,high,fast
034,扭腰摆手,扭腰摆手,6400,8,dance,high,fast
035,上下摇摆挥手,上下摇摆挥手,6400,8,dance,high,fast
036,扭腰,扭腰,5600,7,dance,high,fast
037,捧腹大笑,捧腹大笑,6400,8,dance,high,medium
038,迈步挥手,迈步挥手,5800,7,dance,high,fast
039,蹲下哭泣,蹲下哭泣,6000,17,dance,low,slow
040,左右跨步伸展,左右跨步伸展,8400,8,dance,high,medium
